abstract,results,authors,title
"Human papillomavirus (HPV) infections are a significant public health concern as they cause various cancers, including those of the cervix, vulva, vagina, anus, penis, and oropharynx, in both women and men.
Individuals with immune-mediated inflammatory diseases, particularly systemic lupus erythematosus, have an increased risk of developing persistent HPV infection and subsequent precancerous lesions due to their immunosuppression.
Vaccination and screening for precancerous lesions are 2 central management strategies that must be implemented in patients with immune-mediated inflammatory diseases. Although HPV vaccination has been proven to be safe and effective in these patients, coverage remains low and should be encouraged. Screening for cervical cancer should be more widely implemented in this population, as recommended in guidelines for other immunosuppressed patients.
Catch-up vaccination, vaginal self-sampling screening for HPV detection, and therapeutic vaccination are new options that should be considered.",,"[{'lastname': 'Goulenok', 'firstname': 'Tiphaine', 'initials': 'T', 'affiliation': 'From the Department of Internal Medicine, Bichat-Claude Bernard Hospital, Assistance Publique Hôpitaux de Paris, Université Paris Cité, Paris, France.'}, {'lastname': 'Sacré', 'firstname': 'Karim', 'initials': 'K', 'affiliation': None}]",HPV Infection and Prevention in Patients With Immune-Mediated Inflammatory Diseases: A Scoping Review.
"Contraception can help individuals with rheumatic and musculoskeletal diseases (RMDs) to avoid undesired pregnancies and improve reproductive outcomes. Despite the importance of contraception in the care of females with RMDs, evidence suggests that many of these individuals do not receive consistent or disease-specific counseling regarding contraceptive options. This includes female patients receiving teratogenic prescriptions as part of the management of their RMDs, or who have severe disease activity that might culminate in adverse pregnancy and perinatal outcomes. Contraceptive counseling can help females with RMDs who wish to prevent pregnancy to select a contraceptive method that is best for them.We conducted a narrative review of the primary literature addressing reversible, prescription-based contraception for females with RMDs, framed by published guidelines on contraceptive safety. Many safe and effective contraceptive options are available for females with RMDs. Special considerations must be given to individuals with systemic lupus erythematosus, whose disease activity may be exacerbated by exogenous estrogen. Females with positive antiphospholipid antibodies should avoid estrogen-containing contraception due to an unacceptable risk of thrombosis and should conditionally avoid depot medroxyprogesterone acetate, which appears to have a prothrombotic signature. Limited contraceptive options are available to male patients. Contraceptive care for adolescents with RMDs can be extrapolated from guidelines written for adult patients, with the additional consideration of barrier protection for individuals at risk for sexually transmitted infections. Future research is needed to assess the effects of contraception use on rheumatic disease activity and side effects.",,"[{'lastname': 'Luche', 'firstname': 'Nicole', 'initials': 'N', 'affiliation': 'From the Division of General Internal Medicine, Department of Medicine, University of Pittsburgh, Pittsburgh, PA.'}, {'lastname': 'Talabi', 'firstname': 'Mehret Birru', 'initials': 'MB', 'affiliation': 'Division of Rheumatology and Clinical Immunology, Department of Medicine, University of Pittsburgh, Pittsburgh, PA.'}]",Contraceptive Care in the Rheumatic Diseases: A Review.
,,"[{'lastname': 'Goldberg', 'firstname': 'Rachel L', 'initials': 'RL', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.'}, {'lastname': 'Peterson', 'firstname': 'Tess E', 'initials': 'TE', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.'}, {'lastname': 'Haberlen', 'firstname': 'Sabina A', 'initials': 'SA', 'affiliation': 'Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD.'}, {'lastname': 'Witt', 'firstname': 'Mallory D', 'initials': 'MD', 'affiliation': 'The Lundquist Institute at Harbor-UCLA, West Carson, CA.'}, {'lastname': 'Palella', 'firstname': 'Frank J', 'initials': 'FJ', 'affiliation': 'Division of Infectious Diseases, Department of Medicine, Northwestern University, Evanston, IL.'}, {'lastname': 'Magnani', 'firstname': 'Jared W', 'initials': 'JW', 'affiliation': 'Division of Cardiology, Department of Medicine, University of Pittsburgh, Pittsburgh, PA.'}, {'lastname': 'Brown', 'firstname': 'Todd T', 'initials': 'TT', 'affiliation': 'Division of Endocrinology and Metabolism, Department of Medicine, Johns Hopkins School of Medicine, Baltimore, MS.'}, {'lastname': 'Lake', 'firstname': 'Jordan E', 'initials': 'JE', 'affiliation': 'Division of Infectious Diseases, Department of Medicine, UTHealth Houston, Houston, TX, USA.'}, {'lastname': 'Lima', 'firstname': 'Joao A C', 'initials': 'JAC', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.'}, {'lastname': 'Budoff', 'firstname': 'Matt J', 'initials': 'MJ', 'affiliation': 'The Lundquist Institute at Harbor-UCLA, West Carson, CA.'}, {'lastname': 'Ndumele', 'firstname': 'Chiadi E', 'initials': 'CE', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.'}, {'lastname': 'Wu', 'firstname': 'Katherine C', 'initials': 'KC', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.'}, {'lastname': 'Post', 'firstname': 'Wendy S', 'initials': 'WS', 'affiliation': 'Division of Cardiology, Department of Medicine, Johns Hopkins School of Medicine.\nDepartment of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD.'}]","Response to ""Epicardial fat tissue and diastolic dysfunction in both men and women with HIV""."
,,"[{'lastname': 'Han', 'firstname': 'Win Min', 'initials': 'WM', 'affiliation': 'The HIV Netherlands Australia Thailand Research Collaboration (HIV-NAT), Thai Red Cross AIDS Research Centre, Bangkok, Thailand.\nKirby Institute, University of New South Wales Sydney, Sydney, New South Wales, Australia.\nCenter of Excellence in Tuberculosis.'}, {'lastname': 'Apornpong', 'firstname': 'Tanakorn', 'initials': 'T', 'affiliation': 'The HIV Netherlands Australia Thailand Research Collaboration (HIV-NAT), Thai Red Cross AIDS Research Centre, Bangkok, Thailand.'}, {'lastname': 'Tumkosit', 'firstname': 'Monravee', 'initials': 'M', 'affiliation': 'Department of Radiology, Faculty of Medicine, Chulalongkorn University.'}, {'lastname': 'Avihingsanon', 'firstname': 'Anchalee', 'initials': 'A', 'affiliation': 'The HIV Netherlands Australia Thailand Research Collaboration (HIV-NAT), Thai Red Cross AIDS Research Centre, Bangkok, Thailand.\nCenter of Excellence in Tuberculosis.'}, {'lastname': 'Chattranukulchai', 'firstname': 'Pairoj', 'initials': 'P', 'affiliation': 'Division of Cardiovascular Medicine, Department of Medicine, Faculty of Medicine, Chulalongkorn University, Cardiac Center, King Chulalongkorn Memorial Hospital, Bangkok, Thailand.'}]",Epicardial fat tissue and diastolic dysfunction in both men and women with HIV.
"Our study assessed the CD4+/CD8+ ratio in people with HIV (PWH) switching from a second-generation integrase inhibitor regimen to long-acting cabotegravir (CAB) and rilpivirine (RPV). Over one year, we observed a significant improvement in the CD4+/CD8+ ratio; In addition, our data showed that time spent in CAB+RPV was significantly associated with an increased CD4+/CD8+ ratio. These findings suggest that long-acting therapy may enhance immune recovery, also in treatment-experienced PWH.",,"[{'lastname': 'Muccini', 'firstname': 'Camilla', 'initials': 'C', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.'}, {'lastname': 'Gianotti', 'firstname': 'Nicola', 'initials': 'N', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.'}, {'lastname': 'Lolatto', 'firstname': 'Riccardo', 'initials': 'R', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.'}, {'lastname': 'Nozza', 'firstname': 'Silvia', 'initials': 'S', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.\nVita-Salute San Raffaele University, Milan, Italy.'}, {'lastname': 'Diotallevi', 'firstname': 'Sara', 'initials': 'S', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.'}, {'lastname': 'Castagna', 'firstname': 'Antonella', 'initials': 'A', 'affiliation': 'Department of Infectious Diseases, IRCCS San Raffaele Scientific Institute.\nVita-Salute San Raffaele University, Milan, Italy.'}]",CD4+/CD8+ improvement after switch from a second-generation integrase inhibitor regimen to long-acting cabotegravir and rilpivirine.
,,"[{'lastname': 'Martinez', 'firstname': 'Esteban', 'initials': 'E', 'affiliation': 'Hospital Clínic and University of Barcelona, Barcelona.\nCIBER de Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, Madrid, Spain.'}, {'lastname': 'Dorfman', 'firstname': 'David', 'initials': 'D', 'affiliation': 'Icahn School of Medicine at Mount Sinai, New York City, NY, USA.'}]",Addressing methamphetamine use in persons with HIV.
,,"[{'lastname': 'Goodkin', 'firstname': 'Karl', 'initials': 'K', 'affiliation': 'Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections (ACTG) [formerly the AIDS Clinical Trials Group], Los Angeles, California, USA.'}, {'lastname': 'Winston', 'firstname': 'Alan', 'initials': 'A', 'affiliation': 'Department of Infectious Disease, Faculty of Medicine, Imperial College London, London, UK.'}, {'lastname': 'Martinez', 'firstname': 'Esteban', 'initials': 'E', 'affiliation': 'Infectious Diseases Unit, Hospital Clínic & University of Barcelona, Barcelona, Spain.'}, {'lastname': 'Paul', 'firstname': 'Robert', 'initials': 'R', 'affiliation': 'Missouri Institute of Mental Health, University of Missouri, St. Louis, Missouri, USA.'}]",Anticholinergic and sedative medication use in persons with HIV: defining the evidence for risks on cognition.
,,"[{'lastname': 'Denardo', 'firstname': 'Danielle', 'initials': 'D', 'affiliation': 'Social and Behavioral Sciences, Soka University of America, Aliso Viejo, CA, USA.'}, {'lastname': 'Cort', 'firstname': 'David A', 'initials': 'DA', 'affiliation': 'Department of Sociology, University of Massachusetts, Boston, MA, USA.'}]",Temporal changes in HIV-related stigma and sexual behaviours: An examination of 22 African countries.
"Malaria and HIV infection overlap geographically in sub-Saharan Africa and share risk factors. HIV infection increases malaria's severity, especially in pregnant women. The World Health Organization (WHO) recommends intermittent preventive treatment in pregnancy (IPTp) with sulphadoxine-pyrimethamine (SP) for pregnant women living in areas of stable malaria transmission. However, HIV-positive women on daily cotrimoxazole prophylaxis (recommended for prevention of opportunistic infections in people with HIV) cannot receive SP due to adverse drug interactions, so malaria prevention in this vulnerable population currently relies on daily cotrimoxazole prophylaxis alone. This review is based on a new protocol and provides an update to the 2011 Cochrane Review that evaluated alternative drugs for IPTp to prevent malaria in HIV-positive women.
To compare the safety and efficacy of intermittent preventive treatment regimens for malaria prevention in HIV-positive pregnant women.
We searched CENTRAL, MEDLINE, Embase, three other databases, and two trial registries to 31 January 2024. To identify relevant additional studies or unpublished work, we checked references and contacted study authors and other researchers working on malaria and HIV.
We included randomized controlled trials (RCTs) comparing any intermittent preventive treatment regimen for preventing malaria in HIV-positive pregnant women against daily cotrimoxazole prophylaxis alone, placebo, current or previous standard of care, or combinations of these options. By 'standard of care' we refer to the country's recommended drug regimen to prevent malaria in pregnancy among HIV-positive women, or the treatment that a trial's research team considered to be the standard of care.
Review authors, in pairs, independently screened all records identified by the search strategy, applied inclusion criteria, assessed risk of bias in included trials, and extracted data. We contacted trial authors when additional information was required. We presented dichotomous outcomes using risk ratios (RRs), count outcomes as incidence rate ratios (IRRs), and continuous outcomes as mean differences (MDs). We presented all measures of effect with 95% confidence intervals (CIs). We assessed the certainty of the evidence using the GRADE approach for what we considered to be the main comparisons and outcomes.
We included 14 RCTs, with a total of 4976 HIV-positive pregnant women initially randomized. All trials assessed the efficacy and safety of one antimalarial used as IPTp (mefloquine, dihydroartemisinin/piperaquine, SP, or azithromycin) with or without daily cotrimoxazole, compared to daily cotrimoxazole alone, placebo, or a standard of care regimen. We grouped the trials into nine comparisons. Our main comparison evaluated the current standard of care (daily cotrimoxazole) with another drug regimen (mefloquine or dihydroartemisinin/piperaquine) versus daily cotrimoxazole with or without placebo. In this comparison, two trials evaluated mefloquine and three evaluated dihydroartemisinin/piperaquine. We conducted meta-analyses that included trials evaluating dihydroartemisinin/piperaquine plus cotrimoxazole, and trials that evaluated mefloquine plus cotrimoxazole, as we considered there to be no qualitative or quantitative heterogeneity among trials for most outcomes. We considered drug-related adverse events and HIV-related outcomes to be drug-specific. Daily cotrimoxazole prophylaxis plus another drug regimen (mefloquine or dihydroartemisinin/piperaquine) probably results in lower risk of maternal peripheral parasitaemia at delivery (RR 0.62, 95% CI 0.41 to 0.95; 2406 participants, 5 trials; moderate-certainty evidence). It results in little or no difference in maternal anaemia cases at delivery (RR 0.98, 95% CI 0.90 to 1.07; 2417 participants, 3 trials; high-certainty evidence). It probably results in a decrease in placental malaria measured by blood smear (RR 0.54, 95% CI 0.31 to 0.93; 1337 participants, 3 trials; moderate-certainty evidence), and probably results in little or no difference in low birth weight (RR 1.16, 95% CI 0.95 to 1.41; 2915 participants, 5 trials; moderate-certainty evidence). There is insufficient evidence to ascertain whether daily cotrimoxazole prophylaxis plus another drug regimen affects the risk of cord blood parasitaemia (RR 0.27, 95% CI 0.04 to 1.64; 2696 participants, 5 trials; very low-certainty evidence). Daily cotrimoxazole prophylaxis plus another drug regimen probably results in little or no difference in foetal loss (RR 1.03, 95% CI 0.73 to 1.46; 2957 participants, 5 trials; moderate-certainty evidence), and may result in little or no difference in neonatal mortality (RR 1.21, 95% CI 0.68 to 2.14; 2706 participants, 4 trials; low-certainty evidence). Due to the probability of an increased risk of mother-to-child HIV transmission and some adverse drug effects noted with mefloquine, we also looked at the results for dihydroartemisinin/piperaquine specifically. Dihydroartemisinin/piperaquine plus daily contrimoxazole probably results in little to no difference in maternal peripheral parasitaemia (RR 0.59, 95% CI 0.31 to 1.11; 1517 participants, 3 trials; moderate-certainty evidence) or anaemia at delivery (RR 0.95, 95% CI 0.82 to 1.10; 1454 participants, 2 trials; moderate-certainty evidence), but leads to fewer women having placental malaria when measured by histopathologic analysis (RR 0.67, 95% CI 0.50 to 0.90; 1570 participants, 3 trials; high-certainty evidence). The addition of dihydroartemisinin/piperaquine to daily cotrimoxazole probably made little to no difference to rates of low birth weight (RR 1.13, 95% CI 0.87 to 1.48; 1695 participants, 3 trials), foetal loss (RR 1.14, 95% CI 0.68 to 1.90; 1610 participants, 3 trials), or neonatal mortality (RR 1.03, 95% CI 0.39 to 2.72; 1467 participants, 2 trials) (all moderate-certainty evidence). We found low-certainty evidence of no increased risk of gastrointestinal drug-related adverse events (RR 1.42, 95% CI 0.51 to 3.98; 1447 participants, 2 trials) or mother-to-child HIV transmission (RR 1.54, 95% CI 0.26 to 9.19; 1063 participants, 2 trials).
Dihydroartemisinin/piperaquine and mefloquine added to daily cotrimoxazole seem to be efficacious in preventing malaria infection in HIV-positive pregnant women compared to daily cotrimoxazole alone. However, increased risk of HIV transmission to the foetus and poor drug tolerability may be barriers to implementation of mefloquine in practice. In contrast, the evidence suggests that dihydroartemisinin/piperaquine does not increase the risk of HIV mother-to-child transmission and is well tolerated.",,"[{'lastname': 'Pons-Duran', 'firstname': 'Clara', 'initials': 'C', 'affiliation': 'Maternal, Child and Reproductive Health Initiative, Barcelona Institute for Global Health (ISGlobal), Hospital Clínic - Universitat de Barcelona, Barcelona, Spain.\nDepartment of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, MA, USA.'}, {'lastname': 'Wassenaar', 'firstname': 'Myrte J', 'initials': 'MJ', 'affiliation': 'Maternal, Child and Reproductive Health Initiative, Barcelona Institute for Global Health (ISGlobal), Hospital Clínic - Universitat de Barcelona, Barcelona, Spain.'}, {'lastname': 'Yovo', 'firstname': 'Koffi Emmanuel', 'initials': 'KE', 'affiliation': 'Institut de Recherche Clinique du Bénin (IRCB), 04 BP 1114 Abomey-Calavi, Benin.\nInstitut de Recherche pour le Développement (IRD), UMR MoISA Univ Montpellier, CIRAD, CIHEAM-IAMM, INRAE, Institut Agro, IRD, Montpellier, France.'}, {'lastname': 'Marín-Carballo', 'firstname': 'Clara', 'initials': 'C', 'affiliation': 'Maternal, Child and Reproductive Health Initiative, Barcelona Institute for Global Health (ISGlobal), Hospital Clínic - Universitat de Barcelona, Barcelona, Spain.'}, {'lastname': 'Briand', 'firstname': 'Valérie', 'initials': 'V', 'affiliation': 'University of Bordeaux, National Institute for Health and Medical Research (INSERM) UMR 1219, Research Institute for Sustainable Development (IRD) EMR 271, Bordeaux Population Health Centre, Bordeaux, France.\nEPICENTRE, Paris, France.'}, {'lastname': 'González', 'firstname': 'Raquel', 'initials': 'R', 'affiliation': 'Maternal, Child and Reproductive Health Initiative, Barcelona Institute for Global Health (ISGlobal), Hospital Clínic - Universitat de Barcelona, Barcelona, Spain.\nManhiça Health Research Center, Manhiça, Mozambique.\nConsorcio de Investigación Biomédica en Red de Epidemiología y Salud Pública (CIBERESP), Madrid, Spain.'}]",Intermittent preventive treatment regimens for malaria in HIV-positive pregnant women.
"Studies using estimated blood loss show the association of either human papillomavirus (HPV) or cervical intraepithelial neoplasia (CIN) with postpartum hemorrhage (PPH). We study the association of HPV or CIN with either blood loss or PPH as measured by the more precise measure of quantitative blood loss (QBL). We retrospectively studied 2,334 peripartum women with a documented Pap smear prior to de- livery. The main predictor variable had categories for HPV and CIN as compared to normal cytology. Covariates included demographics, medical/surgical history, and pregnancy variables. Model 1 included the whole sample. Model 2 included only those with an operative vaginal delivery or a cesarean delivery. Outcome measures were QBL and PPH measured by QBL. We found in model 1 that those HPV positive and those with CIN were each not significantly associated with QBL. In model 2, those HPV positive were significantly associated with increased QBL (B = 0.11, SE = 0.05, p = 0.047), while CIN was not significantly associated with QBL. In model 1, those HPV positive and those with CIN were each not significantly associated with PPH. In model 2, those HPV positive were significantly associated with increased odds for PPH (OR:11.03, 9% CI:1.77, 68.74, p = 0.01) while CIN was not significantly associated with PPH. In conclusion, the presence of HPV was positively associated with an increase in the QBL and PPH at time of delivery for those with operative vaginal and cesarean deliveries. We suggest that clinicians take HPV results of Pap smears into consideration when considering a patient's risk of PPH.",,"[{'lastname': 'Mozey', 'firstname': 'Makayla', 'initials': 'M', 'affiliation': 'Department of Obstetrics and Gynecology, Nassau University Medical Center, East Meadow, New York, USA.'}, {'lastname': 'Fogel', 'firstname': 'Joshua', 'initials': 'J', 'affiliation': 'Department of Obstetrics and Gynecology, Nassau University Medical Center, East Meadow, New York; Department of Management, Marketing, and Entrepreneurship, Brooklyn College, Brooklyn, New York, USA.'}, {'lastname': 'Itzhak', 'firstname': 'Petr', 'initials': 'P', 'affiliation': 'Department of Obstetrics and Gynecology, Nassau University Medical Center, East Meadow, New York, USA. pitzhak@numc.edu.'}]","Human Papillomavirus, Cervical Intraepithelial Neoplasia, and Quantitative Blood Loss at Delivery."
